FAR,HR,AUROC,TriggerDecision
0.639427,0.025011,0.275029,0
0.139538,0.102495,0.740668,0
0.590493,0.031783,0.093695,0
0.505355,0.026536,0.198838,1
0.220441,0.589266,0.80943,0
0.758807,0.159659,0.422614,1
0.155479,0.957213,0.336595,0
0.379927,0.358979,0.343956,1
0.807128,0.729732,0.536228,1
0.0788,0.293178,0.62864,1
0.577352,0.704572,0.045824,0
0.773068,0.985222,0.855318,0
0.380126,0.45341,0.83411,0
0.370181,0.209507,0.266978,0
0.609131,0.171139,0.729127,0
0.46226,0.269948,0.925391,0
0.684614,0.842852,0.776,0
0.821803,0.805046,0.401165,0
0.210983,0.94291,0.876368,1
0.212627,0.499231,0.884683,1
0.142872,0.13963,0.744989,1
0.747014,0.428434,0.583533,1
0.219321,0.997538,0.509526,0
0.755782,0.861103,0.152841,0
0.792079,0.42216,0.063528,1
